Accession	ID/Symbol	# of abstracts	abstract list
MI0000251	hsa-mir-208a	31	17379774;20395621;20447577;20576608;20733065;22050602;22374132;22449948;22541436;22713968;22921780;23121236;23168198;23747779;23816326;23908349;23950168;24253456;24461990;24604208;24685144;24824214;25023649;25125495;25791720;25840809;26029872;26169693;26315584;26754670;26974694;
MI0000252	hsa-mir-129-1	69	18189265;19487295;19521961;19536617;19659786;19887623;20331975;20404570;21157891;21449976;21782796;21946411;21960261;22403442;22536440;22684256;22806986;22865282;22907300;23161775;23251334;23307240;23390134;23402613;23463124;23577178;23580407;23677061;23744359;23836929;23874421;23945395;24055727;24093088;24164730;24358111;24631532;24784704;24802708;24899581;24969565;24982406;25000974;25008064;25073105;25111461;25218158;25344911;25373388;25392691;25566966;25576219;25707620;25716201;25772485;25791280;25895125;25912876;25961171;25970172;25987129;26003847;26081366;26116538;26226952;26790441;26824182;26884980;27001970;
MI0000253	hsa-mir-148a	147	18268015;18367714;18378853;18768788;20146264;20406806;20422307;20431052;20483747;20504344;20628822;20650762;20820187;20841507;21081659;21088996;21205300;21246413;21327300;21455217;21499264;21552422;21610744;21703006;21709669;21796641;21907013;21932376;21971665;21994419;22087245;22167392;22207358;22310291;22408438;22438923;22496917;22562546;22890324;22935141;23056401;23225151;23280316;23321675;23383211;23389829;23418578;23527115;23532995;23534973;23549984;23554686;23583978;23605904;23670799;23683438;23687305;23731466;23843100;23859989;23861222;23869555;23873106;23897429;23912551;23933284;23965969;23975374;24013226;24084367;24097068;24119443;24175965;24232094;24248364;24269634;24283384;24425048;24515776;24575833;24659367;24714841;24798342;24805877;24806207;24895996;24920927;25004125;25053345;25063027;25145311;25185654;25187697;25204569;25219837;25224277;25261463;25271001;25277193;25328136;25341915;25371718;25380086;25399950;25444499;25456297;25486906;25501703;25503309;25537514;25574238;25630970;25678371;25703326;25705251;25714032;25904302;25928282;25950085;25950983;25971746;25980823;26004124;26032086;26106521;26111756;26124099;26155421;26170028;26248880;26253263;26304544;26314468;26341324;26433194;26437365;26501192;26516227;26527284;26530325;26584284;26609469;26657066;26707142;26828754;26967387;27010210;
MI0000254	hsa-mir-30c-2	122	12086629;14966264;15356295;15644193;15883035;16574096;16764537;18062880;18701917;19110017;19185580;19223510;19475496;19796073;20451494;20490652;20582287;20591972;20886220;21099261;21099286;21134262;21161639;21175428;21317924;21338582;21612405;21878751;21880628;22024689;22108846;22139444;22253797;22300804;22320217;22431749;22701724;22880027;22952991;23086751;23144934;23149065;23159078;23224145;23316327;23318178;23326547;23340433;23450709;23469762;23596882;23671796;23728339;23749231;23817492;23840438;23926210;23960241;23974200;23988701;24029422;24112779;24127413;24129493;24148619;24189146;24199710;24201112;24239602;24242678;24332856;24341525;24380442;24402943;24422944;24452717;24463035;24519092;24595016;24599134;24623846;24757167;24802714;24978143;25029370;25030918;25119247;25203395;25249344;25250855;25339483;25340791;25350582;25521481;25582198;25692340;25732226;25739750;25799050;25812575;25815474;25840690;25882492;25950484;26002934;26078267;26080425;26100020;26115089;26149869;26269177;26296570;26418018;26432290;26436650;26453979;26488467;26653555;26968781;26998113;27021098;27032651;
MI0000255	hsa-mir-30d	101	12086629;14966264;15356295;15644193;16574096;16764537;17563749;18062880;18701917;19110017;19185580;19223510;19370508;19584924;19796073;20054866;20451494;20582287;20591972;20935678;21029414;21099261;21099286;21124896;21134262;21161639;21319996;21338582;21612405;21741600;22058146;22114136;22298809;22300804;22399519;22733810;22782668;22880027;22902743;23085757;23086751;23144934;23149065;23231923;23272089;23274497;23326547;23416459;23450709;23520522;23671796;23725219;23728339;23813959;23817492;23926210;23960241;24001895;24029422;24132643;24199710;24332856;24345332;24463035;24489115;24599134;24739237;24757167;24903339;25030918;25119247;25155861;25203395;25249344;25250855;25339483;25350582;25582198;25630974;25761682;25799050;25812575;25815474;25840690;25843294;25950484;25995319;25995320;25999658;26269177;26296570;26331273;26395145;26432290;26436650;26488467;26631117;26653555;26657066;27021098;27032651;
MI0000261	hsa-mir-139	57	19926710;20450682;20595629;20818339;20951699;21174058;21471143;21739196;21925125;21963845;22452920;22580051;22623952;22642900;22923518;22970014;23001723;23410519;23551751;23756429;24062574;24158791;24163352;24190507;24204738;24318902;24333693;24549282;24649021;24866763;24885920;24942287;24982406;25027758;25047087;25093010;25149074;25232020;25286864;25499265;25550849;25691250;25700346;25833697;25955258;26022123;26079880;26097570;26175501;26256448;26289417;26299922;26449464;26450708;26486198;26650483;26675257;
MI0000262	hsa-mir-147a	13	19721002;20339536;20548249;21810247;22333974;22371089;23028679;24454732;24914240;25133637;25561729;26581116;26870225;
MI0000263	hsa-mir-7-1	151	18086561;18483236;18755890;18922890;19073608;19135553;19379693;19628698;19892711;20106983;20230785;20385090;20813671;20819078;20931396;20978205;21156648;21454924;21468006;21553140;21592959;21676478;21712475;21723171;21743493;21750649;22040413;22120825;22139078;22142808;22186137;22188669;22234835;22268729;22304369;22352917;22492316;22523595;22614005;22623953;22675342;22705304;22761427;22768238;22853714;22876288;22883450;22965811;23007163;23053397;23073476;23115635;23135998;23206698;23208495;23223022;23227519;23281385;23307866;23319046;23335747;23355539;23370336;23373996;23384942;23404538;23431012;23446346;23446348;23452545;23456911;23457598;23481439;23559187;23667323;23720754;23742934;23762407;23793934;23836875;23900077;24004462;24014594;24134702;24185687;24200387;24281003;24294832;24339204;24370822;24446156;24491049;24594984;24603851;24707474;24726839;24789908;24816687;24854610;24907395;24925797;24931170;24994109;25027403;25048085;25070049;25070500;25089088;25101889;25145311;25149532;25181544;25184905;25232110;25256401;25289099;25339453;25394492;25434362;25483404;25503932;25511742;25532106;25558228;25584614;25749389;25785020;25814668;25862909;25873049;25880778;25882257;25909813;25944465;26103160;26108539;26160134;26211738;26261179;26308064;26453926;26546742;26572867;26573275;26647301;26648422;26801612;26840086;26890217;26998056;27003614;
MI0000264	hsa-mir-7-2	150	18086561;18483236;18755890;18922890;19073608;19135553;19379693;19628698;19892711;20106983;20230785;20385090;20813671;20819078;20931396;20978205;21156648;21454924;21468006;21553140;21592959;21676478;21712475;21723171;21743493;21750649;22040413;22120825;22139078;22142808;22186137;22188669;22234835;22304369;22352917;22492316;22523595;22614005;22623953;22675342;22705304;22761427;22768238;22853714;22876288;22883450;22965811;23007163;23053397;23073476;23115635;23135998;23206698;23208495;23223022;23227519;23281385;23307866;23319046;23335747;23355539;23370336;23373996;23384942;23404538;23431012;23446346;23446348;23452545;23456911;23457598;23481439;23559187;23667323;23720754;23742934;23762407;23793934;23836875;23900077;24004462;24014594;24134702;24185687;24200387;24281003;24294832;24339204;24370822;24446156;24491049;24594984;24603851;24707474;24726839;24789908;24816687;24854610;24907395;24925797;24931170;24994109;25027403;25048085;25070049;25070500;25089088;25101889;25145311;25149532;25181544;25184905;25232110;25256401;25289099;25339453;25394492;25434362;25483404;25503932;25511742;25532106;25558228;25584614;25749389;25785020;25814668;25862909;25873049;25880778;25882257;25909813;25944465;26103160;26108539;26160134;26211738;26261179;26308064;26453926;26546742;26572867;26573275;26647301;26648422;26801612;26840086;26890217;26998056;27003614;
MI0000265	hsa-mir-7-3	151	18086561;18483236;18755890;18922890;19073608;19135553;19379693;19628698;19892711;20106983;20230785;20385090;20813671;20819078;20931396;20978205;21156648;21454924;21468006;21553140;21592959;21676478;21712475;21723171;21743493;21750649;22040413;22120825;22139078;22142808;22186137;22188669;22234835;22304369;22352917;22492316;22523595;22614005;22623953;22675342;22705304;22761427;22768238;22853714;22876288;22883450;22965811;23007163;23053397;23073476;23115635;23135998;23206698;23208495;23223022;23227519;23281385;23307866;23319046;23335747;23355539;23370336;23373996;23384942;23404538;23431012;23446346;23446348;23452545;23456911;23457598;23481439;23559187;23667323;23720754;23742934;23762407;23793934;23836875;23900077;24004462;24014594;24134702;24185687;24200387;24281003;24294832;24339204;24370822;24446156;24491049;24586183;24594984;24603851;24707474;24726839;24789908;24816687;24854610;24907395;24925797;24931170;24994109;25027403;25048085;25070049;25070500;25089088;25101889;25145311;25149532;25181544;25184905;25232110;25256401;25289099;25339453;25394492;25434362;25483404;25503932;25511742;25532106;25558228;25584614;25749389;25785020;25814668;25862909;25873049;25880778;25882257;25909813;25944465;26103160;26108539;26160134;26211738;26261179;26308064;26453926;26546742;26572867;26573275;26647301;26648422;26801612;26840086;26890217;26998056;27003614;
MI0000266	hsa-mir-10a	101	17330104;17660710;17675851;17989255;18307259;18498749;18647411;18773208;19074828;19232136;19461655;19747919;20039279;20444541;20588024;20624982;20842500;20945501;21118818;21136867;21212796;21212805;21471404;21784052;21812927;21873453;21881411;21952822;21991333;22018284;22190519;22293682;22348345;22407312;22558405;22634495;22708672;22943456;22955733;22966337;22967414;22970209;22976466;22983574;22996586;22999546;23046933;23272089;23321646;23389951;23418963;23435463;23685355;23696417;23729638;23867826;23968733;24009623;24100613;24103260;24204315;24278102;24439061;24498243;24509687;24522205;24596420;24632820;24714979;24804980;24854610;24928089;25018014;25061297;25068583;25266939;25281418;25338081;25421511;25426450;25498275;25554417;25563880;25586740;25673044;25683004;25687041;25838349;25875782;25934412;26026730;26134365;26268753;26317552;26395143;26448762;26824181;26825552;26870215;26870288;27002147;
MI0000267	hsa-mir-10b	178	17330104;17675851;17898713;17989255;18256538;18373886;18948893;19461655;19536818;19585508;19780876;20075075;20187102;20444703;20550523;20576643;20732742;20843787;21047409;21067538;21118818;21212796;21212805;21241449;21398193;21407217;21419107;21471404;21562367;21642433;21652542;21737610;21739196;21769427;21795860;21812927;21816909;21846369;21873453;21881411;21968700;21991333;22018284;22020939;22033272;22259248;22286762;22293682;22322955;22492962;22528944;22558405;22573479;22580603;22623952;22682079;22695179;22704449;22704963;22708672;22766763;22821931;22836757;22847191;22906258;22915757;22955733;22965724;22976466;22983388;22983574;23023503;23034333;23125021;23139634;23202960;23206733;23226290;23238818;23307328;23351547;23353867;23390556;23435463;23525256;23563786;23670532;23689353;23742626;23748853;23839045;23950995;23987127;24096486;24100613;24175854;24196612;24198203;24204315;24216130;24256616;24310454;24376640;24416156;24440078;24457988;24481854;24503738;24573354;24586208;24596420;24603539;24619707;24714979;24768260;24793999;24804980;24897960;25047098;25061297;25063061;25070711;25074381;25075255;25210621;25214146;25232827;25236186;25277286;25312779;25350767;25379951;25426450;25426550;25428807;25487418;25510966;25596707;25597482;25600141;25606801;25620614;25652012;25659925;25663689;25738367;25755749;25761179;25773393;25780590;25826081;25856389;25869877;25875782;25889241;25896413;25988292;26007293;26026730;26066857;26132860;26134365;26235746;26311318;26331273;26359455;26392359;26395143;26444644;26448762;26513157;26554762;26820121;26825552;26881967;26988656;27002147;27031715;
MI0000268	hsa-mir-34a	615	17297439;17540598;17540599;17554199;17554337;17656095;17875987;17888029;17914404;17976522;17996645;18056431;18406353;18451145;18497571;18504438;18505919;18677110;18711402;18719384;18755897;18803879;18818704;18834855;18835850;18927506;18941118;18942116;19006648;19029026;19074875;19074876;19098429;19115258;19158830;19199973;19221490;19254429;19258450;19372595;19373781;19383911;19398721;19421141;19443717;19461653;19541840;19584398;19632201;19643983;19692421;19696787;19697704;19701195;19714243;19736307;19773441;19890883;19921694;19936094;19952055;19960022;20018894;20037478;20086228;20089965;20094072;20118199;20130213;20145172;20150330;20185821;20186752;20190569;20213410;20299489;20309940;20338946;20351093;20393129;20428765;20433755;20439489;20442590;20466628;20470934;20525881;20548288;20570894;20581456;20598588;20603603;20606648;20627091;20675101;20682703;20687223;20689156;20734047;20881002;20883704;20889924;20976148;21042576;21047409;21051724;21067862;21088493;21128241;21177782;21177881;21182263;21216258;21217645;21224215;21225432;21258895;21266077;21297663;21317930;21321636;21323860;21367750;21383543;21398193;21399872;21401928;21402698;21415464;21421997;21423204;21448283;21460242;21516127;21541354;21565980;21566225;21574043;21575235;21622730;21655246;21673066;21702042;21726537;21743299;21809047;21809390;21814748;21816823;21820659;21831840;21857159;21857907;21880462;21881409;21886843;21909380;21914401;21917736;21931765;21946562;21952822;21956116;21960059;21968817;21976504;22024162;22027593;22045851;22047961;22074401;22074660;22079638;22102694;22102825;22102859;22110125;22114136;22119609;22126155;22134354;22140441;22159222;22160687;22161761;22162084;22188669;22198089;22198213;22214667;22232426;22235332;22237142;22246523;22292433;22301190;22343898;22362037;22363487;22383663;22389628;22403243;22421157;22438124;22439831;22457788;22479251;22479456;22482439;22496226;22522790;22530199;22531959;22560219;22561871;22562822;22568628;22570483;22580610;22593438;22617110;22623155;22624980;22629428;22651868;22662276;22672425;22684560;22684561;22701667;22703967;22726614;22750848;22767256;22768203;22810507;22830357;22841474;22844109;22844244;22844515;22850877;22870065;22870278;22898888;22902550;22947044;22952654;22955319;22957647;22969970;22975373;22983388;22988100;22992310;23001043;23022474;23029150;23032974;23035210;23036084;23043084;23085450;23103739;23132275;23140286;23145211;23151607;23155233;23183747;23211317;23222379;23226240;23243217;23264087;23292172;23292869;23298640;23298779;23312020;23314380;23314612;23316035;23323620;23327670;23349340;23355243;23361983;23370336;23377969;23416168;23422117;23430952;23450486;23450685;23462268;23485811;23525472;23525797;23529798;23533633;23569431;23574010;23593387;23600198;23624843;23632240;23640973;23642368;23643704;23647235;23658738;23661155;23720881;23724168;23727030;23737287;23743335;23748853;23755536;23759586;23759592;23770290;23770291;23771315;23788953;23790975;23794259;23796712;23805317;23834144;23836017;23845991;23860128;23862748;23874989;23902763;23935875;23936419;23942619;23954321;23962809;23970470;23974200;23991105;23992861;24001901;24009080;24019906;24025418;24026012;24032460;24048733;24050776;24068565;24078448;24081307;24091633;24094113;24096488;24100761;24122958;24123326;24130780;24154725;24172333;24185900;24217154;24220341;24232982;24238045;24241494;24249224;24285684;24307639;24319262;24330517;24335178;24337371;24362009;24370784;24384422;24393844;24400890;24402874;24415058;24418846;24423412;24431000;24438466;24444609;24447928;24457835;24457968;24481728;24482044;24491506;24497324;24503183;24504520;24528540;24530915;24532687;24548601;24551227;24553459;24565525;24573638;24574164;24587182;24595209;24607549;24621885;24637697;24642471;24657911;24683542;24704024;24710391;24714087;24722400;24726431;24727092;24728149;24739178;24765202;24792364;24796666;24802408;24805183;24811488;24815299;24832862;24837198;24838609;24866595;24884974;24912852;24920273;24940606;24957404;24970682;24970812;24981249;24983493;24988056;25015333;25032850;25033073;25038915;25043055;25043849;25044638;25052958;25053345;25053820;25059622;25064703;25068403;25078559;25078608;25092124;25102298;25106556;25114235;25125218;25132913;25173798;25175929;25179842;25182532;25183783;25217526;25220161;25231528;25240884;25242229;25250326;25250818;25268950;25270257;25281835;25292042;25322725;25329673;25329700;25333573;25335093;25348795;25352462;25355491;25362853;25366387;25368020;25370690;25395581;25396727;25403318;25422210;25436980;25449213;25452192;25474246;25483177;25490093;25491743;25499621;25501507;25523239;25524638;25526086;25551284;25551588;25556547;25562151;25572695;25579512;25585539;25587085;25596083;25598697;25612520;25623761;25623948;25631714;25650273;25656948;25658813;25658980;25675046;25686834;25717002;25738893;25762502;25771001;25773680;25778888;25783790;25784176;25788289;25789847;25792709;25800741;25802328;25826085;25834316;25846116;25855231;25860861;25864118;25878394;25894979;25895459;25896587;25908274;25909221;25910896;25912478;25920548;25924769;25939820;25953448;25954903;25958353;25968989;25973020;25978377;26022002;26075299;26077733;26091620;26103003;26126715;26136075;26153151;26177460;26180376;26188041;26198939;26230095;26231042;26238271;26323460;26335888;26339654;26345556;26381333;26385312;26518752;26523671;26553365;26572867;26580663;26625772;26655851;26676753;26677981;26678891;26683209;26718338;26722316;26734589;26734641;26778750;26782413;26802970;26815014;26819477;26854484;26874844;26923637;26924291;26956717;27029505;27031715;
MI0000269	hsa-mir-181a-2	229	16249029;16489342;16762861;17330104;18450603;18533097;18701320;18809607;18974849;18982517;19033646;19221487;19273599;19585654;19692702;19703567;19822134;19826037;19883312;19937678;20023698;20145152;20162574;20204284;20363096;20558617;20576283;20591824;20693279;20841506;20884876;21045193;21079133;21102523;21159845;21167132;21191665;21244495;21271219;21274007;21307844;21332710;21368581;21415464;21447182;21453975;21525173;21685129;21761344;21779448;22009755;22042773;22084432;22209977;22219331;22251480;22260163;22285729;22348355;22356768;22371183;22442671;22446332;22476949;22490414;22492871;22535975;22561871;22581522;22692639;22714950;22847611;22909186;22916024;22971574;23023298;23023500;23052036;23085757;23100311;23134990;23137650;23220232;23229111;23238588;23241956;23256998;23273104;23301034;23322078;23393335;23408835;23427895;23448381;23516523;23524334;23527072;23527246;23533632;23550642;23553719;23589231;23594704;23613523;23637972;23656790;23673427;23705859;23736536;23740615;23759567;23774803;23780685;23886199;23897069;23902770;23911747;23993976;24088671;24098024;24098322;24122719;24148247;24163395;24183793;24183997;24219008;24267199;24335172;24339958;24370793;24394555;24462870;24529171;24531888;24532253;24535903;24556821;24573637;24576072;24607549;24683439;24685694;24722286;24755295;24789113;24795753;24846938;24848932;24870697;24906886;24951034;24954507;24966929;25016292;25024332;25047724;25048087;25058462;25065618;25070000;25092124;25103497;25106798;25128511;25148875;25156012;25174404;25182666;25182732;25187843;25194403;25201733;25230784;25286408;25313246;25365448;25385173;25410655;25444904;25449696;25477247;25498051;25516419;25523507;25524579;25528158;25535255;25626972;25630974;25635127;25641148;25641414;25652854;25669148;25672374;25686674;25690898;25706394;25733820;25739786;25740602;25761179;25775432;25778888;25823933;25844942;25888214;25889210;25890101;25901570;25902802;25976622;25977338;25984438;26041820;26057745;26113450;26214773;26223969;26271976;26322847;26331031;26554155;26616880;26663185;26773729;26923536;26981358;
MI0000270	hsa-mir-181b-1	134	16489342;18184693;18450603;18533097;18762567;18809607;19159078;19221487;19349957;19547998;19585654;19692702;19749800;19776030;19822134;19937678;20023698;20162574;20204284;20219352;20393129;20558617;20564181;20596961;20693279;20868653;20976148;21042576;21102523;21244495;21332710;21401705;21453975;21503876;21636858;21685129;21779448;21876743;21932404;22009755;22084432;22219331;22232059;22251480;22350310;22446332;22460735;22535975;22539488;22581522;22622040;22901205;22916024;23083446;23137650;23175214;23181348;23301034;23313477;23431408;23440261;23481915;23506979;23515710;23524334;23533632;23550642;23611221;23613247;23637972;23645289;23656790;23750211;23810250;23827213;23950168;23970374;23993976;24020903;24055707;24075517;24084690;24098024;24163395;24183793;24269684;24484937;24573637;24735543;24756163;24846938;24848932;24870697;24951034;24954507;25016292;25024332;25047724;25058462;25070000;25103497;25126577;25140035;25148875;25151861;25174404;25187843;25201733;25229239;25299073;25313246;25347472;25410655;25505240;25523507;25524579;25535255;25550803;25633526;25635127;25672374;25686674;25872572;25976622;25984438;26041820;26061266;26090867;26116514;26223969;26420120;26528912;26572075;26622531;
MI0000271	hsa-mir-181c	86	16489342;17726534;18450603;18533097;18809607;18974849;19221487;19585654;19822134;19937678;20023698;20080834;20162574;20204284;20558617;20693279;21102523;21112091;21244495;21332710;21453975;21685129;21720722;21779448;21994399;22084432;22251480;22310912;22916024;23077021;23137650;23255549;23301034;23352489;23425811;23524334;23533632;23550642;23613887;23637972;23667495;23803080;23993976;24098024;24163395;24183793;24345480;24446156;24573637;24789793;24846938;24848932;24867100;24870697;24906886;24951034;24954507;25016292;25024332;25047724;25070000;25103497;25174404;25187843;25201733;25313246;25392691;25427542;25494473;25502397;25523507;25524579;25535255;25554417;25635127;25672374;25686674;25695913;25807437;25828099;25976622;25984438;26382856;26629004;26682928;26903263;
MI0000272	hsa-mir-182	171	17346547;17597072;17976522;19188590;19245798;19267923;19375957;19493678;19574223;19823581;20039279;20081105;20203184;20227111;20418022;20420807;20472885;20490652;20528768;20564226;20647767;20656788;20873592;20935646;20959801;21102518;21140146;21195000;21282978;21360794;21375733;21418177;21503569;21874264;21904633;21920043;21953071;22009679;22013051;22038834;22045813;22086602;22134538;22322863;22325466;22343918;22402744;22431396;22574173;22582938;22681717;22752337;22766795;22788545;22790015;22848417;22889583;22902047;22908386;22929553;23006329;23019418;23028731;23150679;23153509;23184537;23226455;23249749;23262295;23296900;23313739;23329838;23333633;23354685;23383059;23383207;23430586;23474644;23474751;23559272;23704927;23724168;23760496;23775726;23791657;23791885;23874837;23877371;23906647;23936432;23956116;23987127;24001901;24021963;24053448;24077281;24175965;24246916;24277930;24335145;24363810;24404152;24427327;24445397;24447717;24476133;24518785;24519909;24575749;24594777;24600991;24615484;24653623;24703157;24736782;24780297;24801147;24825857;24865442;24884732;24886554;24971532;25000974;25002228;25012722;25031782;25040542;25093671;25102555;25115394;25180607;25265569;25269767;25326859;25337200;25394902;25521201;25530976;25543122;25682742;25695717;25738520;25738893;25739014;25755709;25762502;25813403;25827714;25833690;25838542;25873390;25903466;25906011;25955435;25973950;25975295;25977730;26001595;26043084;26063957;26121316;26207298;26273328;26314219;26338969;26472020;26622652;26661196;26870290;26978735;26981358;
MI0000273	hsa-mir-183	125	16854228;17597072;18184361;18427387;18840437;19245798;19493678;19647510;19647520;19665978;19935649;19940135;20037573;20186779;20203184;20602797;20717030;20739942;20858276;20873592;20979053;21098324;21118966;21166959;21176563;21360794;21375733;21622722;21903582;21920043;21953071;22013051;22024754;22038834;22045813;22134538;22241719;22343918;22349807;22402744;22469921;22525461;22705645;22851079;22889583;22891887;22908386;22922800;23007659;23072640;23184647;23252827;23263745;23284967;23333633;23359482;23372687;23417028;23538390;23625969;23791657;23791885;23906647;24004569;24013374;24039891;24129247;24150523;24173391;24222732;24245745;24277930;24289859;24335145;24352761;24368418;24423866;24586048;24631480;24793167;24805982;25002228;25102555;25109303;25152390;25211657;25269776;25274328;25292031;25337200;25356105;25394902;25409297;25518924;25620614;25629978;25695717;25720086;25755759;25760063;25776476;25776494;25813403;25826081;25871842;25873390;25955435;25963660;25983004;26036346;26052525;26063221;26124344;26170125;26170234;26264462;26322309;26400174;26401047;26661196;26735170;26870180;26879754;26961483;27035623;
MI0000274	hsa-mir-187	17	20332227;21725366;22771635;22854542;23060431;23071313;23916610;24086284;24104394;24149837;24223155;24518785;25432767;25510697;25959385;25969992;26820227;
MI0000279	hsa-mir-196a-2	232	15105502;16319892;17150553;17330104;17473300;17675851;18521189;18634034;18663355;18719196;19063684;19085952;19293314;19342367;19418581;19514064;19567675;19723895;19773200;19834808;19847796;19881472;20127796;20158686;20188135;20229273;20466450;20480203;20488170;20494936;20501619;20549817;20570349;20601442;20614181;20640596;20722507;20736365;20842445;20848167;21073609;21075073;21077158;21080878;21091634;21241442;21278745;21315047;21319225;21345130;21463235;21483822;21508684;21548929;21565178;21565628;21604580;21617338;21624236;21625865;21637771;21652542;21692953;21815818;21818844;21902575;21907588;21913185;21962133;21970718;22001830;22033272;22094011;22159951;22161766;22222140;22258453;22291993;22343731;22358059;22363415;22379029;22420029;22426473;22539802;22545021;22659075;22660636;22692992;22708672;22719192;22768213;22773844;22832484;22859270;22872486;22876840;22882355;22952151;22993637;23074073;23138850;23143626;23160898;23202363;23219900;23226435;23228090;23250869;23293055;23423813;23433405;23470291;23516510;23543085;23593385;23613771;23691458;23719600;23791656;23810380;23823624;23890704;23928854;23967217;23994196;24007214;24039706;24048456;24083724;24107909;24120501;24137477;24145479;24178064;24246082;24248733;24278149;24288122;24291415;24291840;24297336;24320161;24328526;24377545;24377574;24379078;24399071;24423924;24447667;24463357;24475294;24488911;24504166;24521023;24555977;24568449;24586208;24595083;24606691;24622064;24630744;24633889;24681820;24716941;24727796;24746354;24747591;24781267;24795753;24816919;24817935;24853117;24860819;24872081;24916311;24922658;24933454;24952884;24956938;24972764;24978643;25077922;25103961;25107948;25126577;25152444;25176041;25202115;25233933;25337946;25374225;25415048;25428821;25445498;25474430;25485932;25501512;25519012;25523631;25524943;25536365;25546664;25555557;25557604;25563170;25599934;25650003;25658319;25738504;25773825;25793711;25860510;25889241;26008204;26045752;26054667;26062455;26078942;26083623;26097603;26112096;26125831;26141604;26208586;26215064;26376998;26554236;26843114;26870188;26936095;26940097;
MI0000281	hsa-mir-199a-2	193	17848513;18187662;18223217;18347134;18408758;18451214;18456660;18477892;18632614;19011087;19074879;19144437;19265035;19783678;20194722;20400975;20448109;20458739;20501372;20501828;20553585;20643939;20728471;20735361;20799954;20814244;20965886;21048306;21055388;21117066;21146569;21189327;21243487;21278583;21283674;21316602;21317930;21346145;21383689;21420070;21807947;21847633;21989168;22046085;22093618;22179665;22185353;22223846;22265968;22267590;22285730;22294637;22333229;22336940;22359598;22383663;22387046;22441842;22454450;22498306;22553189;22587342;22674437;22713463;22714032;22821565;22862179;22903020;22923518;22942713;22956063;22973051;23060436;23085757;23142051;23146892;23162627;23174576;23180826;23201090;23217102;23222520;23228472;23292866;23319430;23326503;23337876;23360823;23437196;23459460;23504322;23583794;23598416;23657814;23669656;23732092;23733518;23742776;23757351;23759257;23760629;23764775;23851675;23953512;23959088;24011070;24022342;24065659;24069256;24098328;24137412;24155090;24161319;24198161;24228510;24299514;24330517;24378853;24391856;24413338;24587461;24609899;24631181;24634990;24643020;24655788;24706848;24711074;24763824;24771630;24782087;24788726;24810336;24830555;24839982;24877885;24929208;24957404;25041364;25080937;25084986;25130212;25135862;25187622;25231260;25257143;25258381;25262514;25269744;25293877;25312970;25313882;25355421;25389292;25400809;25444917;25448600;25515522;25537119;25539181;25588980;25596533;25618599;25656649;25665524;25673149;25681400;25706326;25714015;25750274;25775010;25823824;25839163;25854175;25890723;26027911;26054020;26065676;26069101;26079799;26107137;26149389;26163491;26302751;26315584;26346275;26365191;26486198;26781989;26819477;26918939;26944279;26952538;
MI0000282	hsa-mir-199b	50	18548097;19308264;19783678;19900756;20460641;20501372;21102440;21145831;21283674;21557766;22049245;22350160;22374871;22411914;22623952;22862179;22920721;23296799;23354452;23360823;23410519;23444217;23574781;23583794;23594994;23598416;23657814;23757351;24064976;24069193;24069256;24608802;24631480;24643020;24659709;24680705;24771630;24788726;25100252;25231260;25355421;25503309;25539181;25681400;25807426;26163491;26183062;26302751;26340914;26486198;
MI0000283	hsa-mir-203a	174	17622355;18242245;18311128;18381414;18419608;18483491;18538729;18538733;18853072;19513557;19759552;19843643;19935649;20219920;20652642;20698882;20702634;21063914;21159887;21205209;21279994;21299870;21323860;21354697;21368580;21373745;21454413;21461574;21536793;21553120;21684271;21707582;21747943;21786180;21836020;22094011;22127852;22205737;22207897;22223089;22260523;22306317;22354972;22360957;22391564;22421148;22514743;22679274;22713668;22886454;22917968;22940702;22956368;23073851;23175673;23190607;23285092;23324130;23324622;23354685;23416953;23447531;23449450;23452545;23462723;23552555;23608026;23613955;23638671;23673427;23682678;23725129;23732815;23746242;23775225;23785202;23790975;23813496;23819812;23867971;23884313;23918241;23953880;23962809;23968727;24001611;24039897;24040137;24045437;24103876;24145123;24145190;24154605;24219349;24219989;24247238;24270883;24291638;24519530;24520289;24682952;24692008;24703157;24854846;24884571;24891298;24938872;24976077;24980827;24994936;24996183;25004126;25008968;25069511;25070781;25123268;25140799;25147232;25216463;25280339;25284788;25290620;25365304;25373785;25381466;25384218;25428263;25429815;25475727;25475777;25482885;25486432;25508032;25515700;25524325;25531302;25621839;25634212;25636908;25658920;25690121;25700309;25742469;25762502;25834316;25840888;25871397;25872484;25872941;25890121;25910964;25912478;25928282;25939713;25956054;25970172;26132195;26136151;26177443;26203562;26225581;26361147;26382657;26383628;26400984;26455203;26462361;26559308;26639163;26678661;26701878;26711064;26719072;26819680;
